,Rec - Storage of bare modules,Rec - Storage of flexes,Rec - PDB checks of bare modules,Rec - PDB checks of flexes,Rec - Metrology and Visual inspection of bare modules,Rec - Metrology and Visual inspection of flexes,Rec - Metrology weights of bare modules,Rec - Metrology weights of flexes,Rec - Sensor IV of bare modules,FA - Glue flex to bare module,FA - visual inspection of module,FA - Metrology weights of module,WB - Prepare wire-bonding requests,WB - Wire-bonding,WB - PDB Upload of wire-bonding pull-test results,I - Warm Electrical Testing,I - Cold Electrical Testing,P - Masking,P - Mask Curing,P - visual inspection after masking,P - Shipping,P - Transit,P - visual inspection after transit,P - Demasking,P - visual inspection after unmasking,P - Post Parylene Warm,P - Post Parylene cold chiller cooldown,P - Post Parylene Cold,P - Post Parylene X-ray,"WBP - Preparation, glue mixing, canopy attachment",WBP - Visual Inspection,WBP - Mass Measurement,WBP - Resistance Measurement,WBP - PDB Upload of visual inspection mass and resistance,WBP - MHT-PFA,TC - Cycle,TC - PDB Upload of thermal cycling data,TC - Back side metrology,TC - PDB Upload of back side metrology,LTS - MHT-PFA,F - Warm,F - Cold,F - X-ray,S - Packaging,S - PDB Shipment of modules to loading sites
2025-01-10 17:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,
2025-01-10 17:12:00,,,,,,,,,,,,"('Operator8', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-10 17:14:00,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13 09:00:00,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator9')",,
2025-01-13 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",
2025-01-13 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')"
2025-01-13 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator8')",,
2025-01-13 13:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator5')",
2025-01-13 13:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator7')"
2025-01-13 13:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator10')",,,
2025-01-13 13:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator7')",,,,,,,,
2025-01-13 13:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,
2025-01-13 14:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,
2025-01-13 14:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator3')",,,,,
2025-01-13 15:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,
2025-01-13 15:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator3')",,,,,,,,,,,,,,,,,
2025-01-13 15:37:00,,,,,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13 15:47:00,,,,,,,,,,,,,,,,"('Operator8', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13 15:57:00,,,,,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13 16:07:00,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13 16:09:00,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 09:00:00,,,,,,,,,,,,,,"('Operator4', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator9')",,
2025-01-14 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator5')",
2025-01-14 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator7')"
2025-01-14 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator5')",,,
2025-01-14 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator3')",,,,,,,,,,,,,,,,
2025-01-14 13:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,,,
2025-01-14 13:30:00,,,,,,,,,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 13:40:00,,,,,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 13:50:00,,,,,,,,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 14:00:00,,,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 14:02:00,,,,,,"('Operator8', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 14:22:00,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 14:32:00,,,"('Operator6', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 14:42:00,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 15:02:00,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 15:04:00,,,,,,,,,"('Operator5', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 15:24:00,,,,,,,,,,"('Operator8', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 15:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,
2025-01-14 16:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator8')",
2025-01-14 16:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator9')"
2025-01-14 16:39:00,,,,,,,,"('Operator5', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 16:41:00,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 17:01:00,,,,,,,,,,,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 17:11:00,,,,"('Operator6', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 17:21:00,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 17:31:00,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 17:41:00,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14 17:42:00,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 09:00:00,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,
2025-01-15 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator6')",,,,,,,,,,,,,
2025-01-15 09:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator1')",,,,,,,,,,,,
2025-01-15 09:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,
2025-01-15 09:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,
2025-01-15 10:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,
2025-01-15 10:53:00,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 11:13:00,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 11:23:00,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 11:24:00,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 11:34:00,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 13:00:00,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 13:20:00,,,,,,,,,,,"('Operator3', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 13:30:00,,,,,,,,,,,,"('Operator8', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 13:32:00,,,,,,,,,,,,,"('Operator6', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 13:52:00,,,,,,,,,,,,,,"('Operator6', 'Operator4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 15:52:00,,,,,,,,,,,,,,,"('Operator6', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 16:02:00,,,,,,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 16:12:00,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 16:32:00,,,,,,,"('Operator7', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 16:34:00,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 16:54:00,,,,,,,,,,"('Operator6', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 17:24:00,,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 17:26:00,,,,,,"('Operator10', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15 17:46:00,,,"('Operator7', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 09:00:00,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,
2025-01-16 09:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,
2025-01-16 09:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,
2025-01-16 09:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator10')",,,,,
2025-01-16 10:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator10')",,,,
2025-01-16 10:52:00,,,,,,,,,,,,,,,,,"('Operator8', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 11:02:00,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 11:12:00,,,,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 11:14:00,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 13:00:00,,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator1', 'Operator8')",,,
2025-01-16 15:10:00,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 15:20:00,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 15:21:00,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 15:31:00,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 15:41:00,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 16:01:00,,,,,,,,,,,,,,,"('Operator4', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 16:11:00,,,,,,,,,,,,,,,,"('Operator7', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 16:21:00,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 16:23:00,,,,,,,,,"('Operator9', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 16:43:00,,,,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 17:13:00,,,,,,,,"('Operator8', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 17:15:00,,,,,,"('Operator1', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16 17:35:00,,,"('Operator8', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 09:00:00,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator9')",,
2025-01-17 09:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator7')",
2025-01-17 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator10')"
2025-01-17 10:05:00,,,,,,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 10:15:00,,,,,,,,,,,"('Operator3', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 10:25:00,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 10:27:00,,,,,,,,,,,,,"('Operator7', 'Operator4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 13:00:00,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 15:00:00,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 15:10:00,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 15:11:00,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 15:21:00,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 15:31:00,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 15:51:00,,,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 16:01:00,,,,,,,,,,,,,,,,"('Operator9', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 16:11:00,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 16:13:00,,,,,,,,,"('Operator5', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 16:33:00,,,,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 17:03:00,,,,,,,,"('Operator8', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 17:05:00,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 17:25:00,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 17:35:00,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 17:55:00,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 09:00:00,,,,,,,,,"('Operator1', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 09:20:00,,,,,,,,,,,,,,,,,"('Operator7', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 09:30:00,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 09:40:00,,,,,,,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 09:42:00,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 13:00:00,,,,,,,,,,,,,,"('Operator4', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 15:00:00,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 15:10:00,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 15:11:00,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 15:21:00,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 15:31:00,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 15:51:00,,,,,,,,,,,,,,,"('Operator4', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 16:01:00,,,,,,,,,,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 16:11:00,,,,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 16:41:00,,,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 16:43:00,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 17:03:00,,,"('Operator7', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 17:13:00,,,,,"('Operator5', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 17:33:00,,,,,,,"('Operator10', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 17:35:00,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 09:00:00,,,,,,,,,,"('Operator1', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 09:30:00,,,,,,,,,,,,,,,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 09:40:00,,,,,,,,,,,"('Operator1', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 09:50:00,,,,,,,,,,,,"('Operator6', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 09:52:00,,,,,,,,,,,,,"('Operator6', 'Operator2')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 13:00:00,,,,,,,,,,,,,,"('Operator6', 'Operator4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 15:00:00,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 15:10:00,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 15:11:00,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 15:21:00,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 15:31:00,,,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 15:51:00,,,,,,,,,,,,,,,"('Operator3', 'Operator4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 16:01:00,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 16:11:00,,,,,,,,"('Operator5', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 16:13:00,,,,,,"('Operator7', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 16:33:00,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 16:43:00,,,,,"('Operator1', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 17:03:00,,,,,,,"('Operator5', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 17:05:00,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21 17:25:00,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 09:00:00,,,,,,,,,,,"('Operator9', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 09:10:00,,,,,,,,,,,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 09:20:00,,,,,,,,,,,,"('Operator3', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 09:22:00,,,,,,,,,,,,,"('Operator6', 'Operator4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 09:42:00,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 11:42:00,,,,,,,,,,,,,,,"('Operator4', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 13:00:00,,,,,,,,,,,,,,,,"('Operator5', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 13:10:00,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 13:20:00,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 13:21:00,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 13:31:00,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 13:41:00,,,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 14:01:00,,,,,,,,,,,"('Operator8', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 14:11:00,,,,,,,,,,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 14:13:00,,,,,,,,,,,,,"('Operator3', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 14:33:00,,,,,,,,,,,,,,"('Operator2', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 16:33:00,,,,,,,,,,,,,,,,,"('Operator3', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 16:43:00,,,,,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 16:53:00,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 17:03:00,,,,,,,,"('Operator1', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
